 ,IR ADC,RED ADC,GREEN ADC,BLUE ADC
53.6,443161,362673,0,0
53.65,444001,363161,0,0
53.7,444591,363439,0,0
53.75,445340,363827,0,0
53.8,445780,364054,0,0
53.85,446550,364454,0,0
53.9,447211,364827,0,0
53.95,444330,363025,0,0
54,440269,360850,0,0
54.05,438942,360082,0,0
54.1,438773,360084,0,0
54.15,439420,360489,0,0
54.2,440133,360925,0,0
54.25,441062,361342,0,0
54.3,441007,361327,0,0
54.35,441258,361450,0,0
54.4,441484,361526,0,0
54.45,442269,361948,0,0
54.5,442698,362176,0,0
54.55,443713,362778,0,0
54.6,444358,363087,0,0
54.65,445020,363464,0,0
54.7,445463,363623,0,0
54.75,446167,364025,0,0
54.8,446836,364341,0,0
54.85,447148,364451,0,0
54.9,442875,361944,0,0
54.95,438902,359826,0,0
55,438341,359578,0,0
55.05,438538,359645,0,0
55.1,439065,359974,0,0
55.15,440286,360669,0,0
55.2,440662,360819,0,0
55.25,441044,361007,0,0
55.3,441176,361080,0,0
55.35,441842,361452,0,0
55.4,442439,361743,0,0
55.45,443587,362366,0,0
55.5,444154,362660,0,0
55.55,444961,363101,0,0
55.6,445529,363431,0,0
55.65,446319,363864,0,0
55.7,446876,364119,0,0
55.75,447821,364612,0,0
55.8,447859,364510,0,0
55.85,441414,360835,0,0
55.9,439129,359645,0,0
55.95,438571,359342,0,0
56,438604,359424,0,0
56.05,439560,359967,0,0
56.1,440408,360422,0,0
56.15,440946,360678,0,0
56.2,441059,360755,0,0
56.25,441429,360934,0,0
56.3,441918,361225,0,0
56.35,442782,361676,0,0
56.4,443629,362133,0,0
56.45,444897,362824,0,0
56.5,445669,363216,0,0
56.55,446696,363763,0,0
56.6,447436,364135,0,0
56.65,448434,364739,0,0
56.7,449143,365143,0,0
56.75,448629,364636,0,0
56.8,443214,361533,0,0
56.85,439198,359434,0,0
56.9,438953,359276,0,0
56.95,439192,359486,0,0
57,439949,359893,0,0
57.05,441046,360558,0,0
57.1,441247,360678,0,0
57.15,441484,360658,0,0
57.2,441660,360799,0,0
57.25,442335,361197,0,0
57.3,442856,361452,0,0
57.35,443901,362001,0,0
57.4,444502,362347,0,0
57.45,445465,362830,0,0
57.5,445858,363127,0,0
57.55,446819,363569,0,0
57.6,447377,363890,0,0
57.65,447856,364105,0,0
57.7,445083,362404,0,0
57.75,439317,359220,0,0
57.8,438618,358868,0,0
57.85,438671,358955,0,0
57.9,439133,359253,0,0
57.95,440323,359841,0,0
58,440561,359971,0,0
58.05,440479,359922,0,0
58.1,440579,359978,0,0
58.15,441060,360217,0,0
58.2,441377,360416,0,0
58.25,442321,360913,0,0
58.3,442990,361222,0,0
58.35,443851,361769,0,0
58.4,444536,362066,0,0
58.45,445296,362464,0,0
58.5,445965,362821,0,0
58.55,446795,363217,0,0
58.6,443584,361273,0,0
58.65,438623,358542,0,0
58.7,437879,358182,0,0
58.75,437762,358175,0,0
58.8,438229,358448,0,0
58.85,439386,359103,0,0
58.9,439743,359303,0,0
58.95,439829,359249,0,0
59,439953,359355,0,0
59.05,440469,359605,0,0
59.1,441156,359993,0,0
59.15,442316,360635,0,0
59.2,442937,361004,0,0
59.25,444040,361551,0,0
59.3,444733,361932,0,0
59.35,445627,362421,0,0
59.4,446225,362697,0,0
59.45,447306,363331,0,0
59.5,446659,362768,0,0
59.55,439542,358759,0,0
59.6,437749,357854,0,0
59.65,437223,357614,0,0
59.7,437334,357660,0,0
59.75,438317,358324,0,0
59.8,439060,358688,0,0
59.85,439416,358826,0,0
59.9,439531,358902,0,0
59.95,440001,359097,0,0
60,440522,359412,0,0
60.05,441494,359975,0,0
60.1,442314,360364,0,0
60.15,443527,361012,0,0
60.2,444174,361378,0,0
60.25,445069,361852,0,0
60.3,445649,362163,0,0
60.35,446592,362705,0,0
60.4,447060,362920,0,0
60.45,441311,359482,0,0
60.5,438062,357775,0,0
60.55,437021,357265,0,0
60.6,437087,357363,0,0
60.65,437931,357811,0,0
60.7,438755,358267,0,0
60.75,439368,358539,0,0
60.8,439444,358607,0,0
60.85,439557,358642,0,0
60.9,439986,358859,0,0
60.95,440914,359390,0,0
61,441668,359779,0,0
61.05,442874,360420,0,0
61.1,443462,360739,0,0
61.15,444156,361096,0,0
61.2,444540,361313,0,0
61.25,445365,361780,0,0
61.3,445515,361752,0,0
61.35,439844,358473,0,0
61.4,437419,357247,0,0
61.45,436929,356969,0,0
61.5,437110,357081,0,0
61.55,438103,357664,0,0
61.6,438862,358059,0,0
61.65,438987,358070,0,0
61.7,439037,358092,0,0
61.75,439273,358217,0,0
61.8,439648,358375,0,0
61.85,440480,358863,0,0
61.9,440947,359128,0,0
61.95,441798,359520,0,0
62,442231,359770,0,0
62.05,442725,360000,0,0
62.1,443170,360276,0,0
62.15,443948,360668,0,0
62.2,442632,359746,0,0
62.25,437241,356796,0,0
62.3,436246,356287,0,0
62.35,436097,356224,0,0
62.4,436351,356379,0,0
62.45,437559,357019,0,0
62.5,438057,357246,0,0
62.55,438180,357318,0,0
62.6,438302,357339,0,0
62.65,438749,357567,0,0
62.7,439190,357804,0,0
62.75,440133,358329,0,0
62.8,440867,358664,0,0
62.85,441859,359171,0,0
62.9,442316,359382,0,0
62.95,442961,359723,0,0
63,443414,359984,0,0
63.05,444124,360364,0,0
63.1,443249,359735,0,0
63.15,437032,356313,0,0
63.2,435712,355595,0,0
63.25,435436,355430,0,0
63.3,435565,355566,0,0
63.35,436525,356077,0,0
63.4,437273,356473,0,0
63.45,437579,356560,0,0
63.5,437665,356576,0,0
63.55,438029,356772,0,0
63.6,438476,357011,0,0
63.65,439425,357494,0,0
63.7,440134,357805,0,0
63.75,440959,358254,0,0
63.8,441538,358552,0,0
63.85,442155,358834,0,0
63.9,442679,359156,0,0
63.95,443663,359663,0,0
64,444059,359824,0,0
64.05,438922,356736,0,0
64.1,436280,355389,0,0
64.15,435553,354998,0,0
64.2,435505,355049,0,0
64.25,436253,355423,0,0
64.3,437171,355916,0,0
64.35,437763,356173,0,0
64.4,437797,356190,0,0
64.45,438041,356276,0,0
64.5,438359,356451,0,0
64.55,439198,356854,0,0
64.6,439881,357211,0,0
64.65,440934,357773,0,0
64.7,441625,358085,0,0
